state_id,trial_id,requirement,load_tertile,safe_set_size,safe_set_bin,effective_set_size,coupling_group,h20_myopic_regret,horizon,method,optimal_set_size,spearman,kendall,top1_hit,top3_hit,top5_hit,mean_regret,predicted_action
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,5,Centered Advantage,7,0.6130155382389902,0.44141479464782035,False,True,True,27.29298823697252,21
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,5,PPO Actor,7,0.5898986415221179,0.4528801139893222,True,True,True,0.0,27
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,5,Old Q critic,7,0.46532603890137536,0.3530258444025768,True,True,True,0.0,5
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,10,Centered Advantage,7,0.6130155382389902,0.44141479464782035,False,True,True,27.292988236972576,21
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,10,PPO Actor,7,0.5898986415221179,0.4528801139893222,True,True,True,0.0,27
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,10,Old Q critic,7,0.46532603890137536,0.3530258444025768,True,True,True,0.0,5
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,20,Centered Advantage,7,0.6130155382389902,0.44141479464782035,False,True,True,27.292988236972576,21
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,20,PPO Actor,7,0.5898986415221179,0.4528801139893222,True,True,True,0.0,27
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,20,Old Q critic,7,0.46532603890137536,0.3530258444025768,True,True,True,0.0,5
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,50,Centered Advantage,7,0.6130155382389902,0.44141479464782035,False,True,True,27.292988236972633,21
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,50,PPO Actor,7,0.5898986415221179,0.4528801139893222,True,True,True,0.0,27
trial_000_ep1_task001,0,0.99,low,28,16-28,28,easy,0.0,50,Old Q critic,7,0.46532603890137536,0.3530258444025768,True,True,True,0.0,5
trial_000_ep1_task002,0,0.99,low,24,16-28,24,easy,0.0,5,Centered Advantage,4,0.04517717674845494,0.045501575519329006,False,False,True,36.18940093845009,21
trial_000_ep1_task002,0,0.99,low,24,16-28,24,easy,0.0,5,PPO Actor,4,-0.2469393253337877,-0.1668391102375397,False,False,False,66.14021296612145,27
trial_000_ep1_task002,0,0.99,low,24,16-28,24,easy,0.0,5,Old Q critic,4,-0.02807125545535065,0.007583595919888168,False,False,True,33.92468391064199,5
