state_id,R_req,action_index,pair,regret,exact_optimal,near_1e-3,near_1e-2,source
trial00_episode01_task004,0.9,27,"(7, 8)",5.014991460217395,False,False,False,supplemental_0.9_states
trial00_episode01_task020,0.9999,27,"(7, 8)",91.42706418027382,False,False,False,original_1000_states
trial00_episode01_task060,0.999,27,"(7, 8)",0.0,True,True,True,original_1000_states
trial00_episode01_task100,0.9999,27,"(7, 8)",92.98330083421234,False,False,False,original_1000_states
trial00_episode01_task140,0.9999,27,"(7, 8)",12.085801230130537,False,False,False,original_1000_states
trial00_episode01_task180,0.99,27,"(7, 8)",5.473339202552218,False,False,False,original_1000_states
trial00_episode02_task014,0.9,27,"(7, 8)",15.89215383847366,False,False,False,supplemental_0.9_states
trial00_episode02_task020,0.9999,27,"(7, 8)",35.19520942754896,False,False,False,original_1000_states
trial00_episode02_task060,0.999,27,"(7, 8)",22.041940142008997,False,False,False,original_1000_states
trial00_episode02_task100,0.9999,27,"(7, 8)",29.96618135182063,False,False,False,original_1000_states
trial00_episode02_task140,0.9999,27,"(7, 8)",34.59746149222893,False,False,False,original_1000_states
trial00_episode02_task180,0.99,27,"(7, 8)",15.738130305076417,False,False,False,original_1000_states
trial00_episode03_task019,0.9,27,"(7, 8)",17.18999703519245,False,False,False,supplemental_0.9_states
trial00_episode03_task020,0.9999,27,"(7, 8)",41.97098042716339,False,False,False,original_1000_states
trial00_episode03_task060,0.999,27,"(7, 8)",0.0,True,True,True,original_1000_states
trial00_episode03_task100,0.9999,27,"(7, 8)",9.702687575958777,False,False,False,original_1000_states
trial00_episode03_task140,0.9999,27,"(7, 8)",0.0,True,True,True,original_1000_states
trial00_episode03_task180,0.99,27,"(7, 8)",28.41982481894729,False,False,False,original_1000_states
trial00_episode04_task020,0.9999,27,"(7, 8)",41.86405491967147,False,False,False,original_1000_states
trial00_episode04_task024,0.9,27,"(7, 8)",38.53849476447091,False,False,False,supplemental_0.9_states
trial00_episode04_task060,0.999,27,"(7, 8)",0.0,True,True,True,original_1000_states
trial00_episode04_task100,0.9999,27,"(7, 8)",52.024707109237816,False,False,False,original_1000_states
trial00_episode04_task140,0.9999,27,"(7, 8)",26.5491696261643,False,False,False,original_1000_states
trial00_episode04_task180,0.99,27,"(7, 8)",21.42385413024486,False,False,False,original_1000_states
trial00_episode05_task020,0.9999,27,"(7, 8)",0.0,True,True,True,original_1000_states
trial00_episode05_task040,0.9,27,"(7, 8)",8.143981309537367,False,False,False,supplemental_0.9_states
trial00_episode05_task060,0.999,27,"(7, 8)",0.0,True,True,True,original_1000_states
